method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,2,7,1,10,1987,118,807,1.059
insider,2,7,1,10,1888.0,95.0,938.0,0.271
insider_relax,2,7,1,10,1888.0,95.0,938.0,0.326
fastmultrec_greedy,2,7,1,10,1905.0,103.0,875.0,4.673
lcamap,2,7,1,10,1987.0,118.0,807.0,0.054
segdup,2,7,1,15,2577,118,807,0.946
insider,2,7,1,15,2356.0,91.0,991.0,0.445
insider_relax,2,7,1,15,2356.0,91.0,991.0,0.485
fastmultrec_greedy,2,7,1,15,2414.0,100.0,914.0,5.473
lcamap,2,7,1,15,2577.0,118.0,807.0,0.051
segdup,2,7,1,20,3166,117,826,0.933
insider,2,7,1,20,2804.0,88.0,1044.0,0.790
insider_relax,2,7,1,20,2804.0,88.0,1044.0,1.577
fastmultrec_greedy,2,7,1,20,2414.0,100.0,914.0,4.663
lcamap,2,7,1,20,3167.0,118.0,807.0,0.062
