method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
fastmultrec_greedy,1,9,10,25,128.0,5.0,3.0,0.219627
lcamap,1,9,10,25,128.0,5.0,3.0,0.039590
segdup,1,9,10,5,28,5,3,131.505664
insider,1,9,10,5,28.0,5.0,3.0,0.067063
fastmultrec_greedy,1,9,10,5,28.0,5.0,3.0,0.221714
lcamap,1,9,10,5,28.0,5.0,3.0,0.039397
segdup,2,10,10,10,53,5,3,281.284344
insider,2,10,10,10,53.0,5.0,3.0,0.147414
fastmultrec_greedy,2,10,10,10,53.0,5.0,3.0,0.590574
lcamap,2,10,10,10,53.0,5.0,3.0,0.090284
segdup,2,10,10,15,78,5,3,226.233256
insider,2,10,10,15,78.0,5.0,3.0,0.150673
fastmultrec_greedy,2,10,10,15,78.0,5.0,3.0,0.590470
lcamap,2,10,10,15,78.0,5.0,3.0,0.089397
segdup,2,10,10,20,103,5,3,158.376360
insider,2,10,10,20,103.0,5.0,3.0,0.148590
fastmultrec_greedy,2,10,10,20,103.0,5.0,3.0,0.599160
lcamap,2,10,10,20,103.0,5.0,3.0,0.092349
segdup,2,10,10,25,128,5,3,158.500763
insider,2,10,10,25,128.0,5.0,3.0,0.149230
fastmultrec_greedy,2,10,10,25,128.0,5.0,3.0,0.590591
lcamap,2,10,10,25,128.0,5.0,3.0,0.090806
segdup,2,10,10,5,28,5,3,327.632116
insider,2,10,10,5,28.0,5.0,3.0,0.148715
fastmultrec_greedy,2,10,10,5,28.0,5.0,3.0,0.589761
lcamap,2,10,10,5,28.0,5.0,3.0,0.092913
segdup,2,11,10,10,20,2,0,201.191484
insider,2,11,10,10,20.0,2.0,0.0,0.134525
fastmultrec_greedy,2,11,10,10,20.0,2.0,0.0,0.512659
lcamap,2,11,10,10,20.0,2.0,0.0,0.085058
segdup,2,11,10,15,30,2,0,106.804422
insider,2,11,10,15,30.0,2.0,0.0,0.131254
fastmultrec_greedy,2,11,10,15,30.0,2.0,0.0,0.508075
